,text,x,y
0,Carbon arc welding,13.163682,7.0329905
1,Flux cored arc welding,8.142623,5.2454987
2,Gas metal arc welding,13.002888,7.3047094
3,Shielding gas,13.215129,7.1949587
4,Plasma arc welding,13.140518,7.0460114
5,Shielded metal arc welding,13.148748,7.1896067
6,Submerged arc welding,13.082914,7.1012015
7,Atomic hydrogen welding,13.060261,6.8648777
8,Propane,7.1612782,4.503383
9,Spot welding,12.556078,7.1571975
10,Drum (container),7.3888125,5.7002897
11,Flash welding,12.6174135,7.4343
12,Upset welding,12.660181,7.2871685
13,Cold welding,12.166068,7.1306343
14,Explosion welding,12.409581,7.3905244
15,Magnetic pulse welding,12.606631,7.3181934
16,Forge welding,12.33556,7.2555985
17,Damascus steel,8.956514,6.15539
18,Friction welding,12.431047,7.55753
19,Friction stir welding,12.431042,7.450457
20,Hot isostatic pressing,9.896049,5.663255
21,Autoclave,7.2241445,3.7856188
22,Ultrasonic welding,12.12009,7.3355427
23,Electroslag welding,12.822115,7.245303
24,Induction welding,12.094395,6.7767787
25,Laser beam welding,12.802811,7.0185823
26,Laser-hybrid welding,12.964967,7.017222
27,Percussion welding,12.436315,7.27547
28,Electrogas welding,12.810004,7.2300367
29,Isbn (identifier),7.412933,8.855269
30,Symbols and conventions used in welding documentation,12.7177725,7.355806
31,Cladding (metalworking),10.533355,6.7452383
32,Template:metalworking navbox,7.433546,8.84932
33,Metalworking,8.749328,6.170142
34,Flux-cored arc welding,13.086425,7.178646
35,Electric resistance welding,12.534124,7.0218816
36,Electron-beam welding,12.915115,7.0993733
37,Exothermic welding,12.265583,6.9710536
38,Friction stud welding,12.780725,7.4761996
39,Oxy-fuel welding and cutting,12.577035,6.931379
40,Electrode,10.764561,6.700828
41,Filler metal,11.991553,7.0127654
42,Welding helmet,13.07076,7.059047
43,Welding power supply,13.144579,7.16151
44,Robot welding,12.99385,7.3357577
45,Heat-affected zone,12.488713,6.9741282
46,Photokeratitis,12.907786,6.889882
47,Weldability,12.579321,7.353708
48,Metal fabrication,8.796877,7.1768093
49,Forming processes,10.624159,7.75932
50,Machining,8.412319,7.398362
51,Metallurgy,8.955949,5.8087025
52,Outline of metalworking,10.426843,7.1975565
53,Thermoforming,10.177982,5.2817354
54,Centrifugal casting (industrial),11.254237,5.4047337
55,Continuous casting,11.207044,5.385399
56,Evaporative-pattern casting,11.326685,5.2578325
57,Full-mold casting,11.30828,5.301069
58,Lost-foam casting,11.247386,5.365896
59,Investment casting,11.320959,5.240307
60,Permanent mold casting,11.307644,5.3027034
61,Resin casting,10.6765,5.2374988
62,Sand casting,11.340524,5.2819037
63,Shell molding,11.368129,5.259087
64,Coating,10.459829,6.4594607
65,Chemical vapor deposition,7.2079077,3.4592803
66,Sputter deposition,10.710354,6.100146
67,Thermal spraying,10.850382,6.0657887
68,Powder metallurgy,9.648237,5.711217
69,Sintering,9.970834,5.7373753
70,Spray forming,10.815926,6.106078
71,Dip moulding,11.340082,5.2870274
72,Forming (metalworking),10.531338,7.804404
73,Tube beading,10.550305,7.9011536
74,Machine press,9.916561,8.225076
75,Impact (mechanics),9.932503,7.4566784
76,Extrusion,10.160451,7.920537
77,Incremental sheet forming,10.435084,7.7930617
78,Sheet metal,10.087854,7.2947273
79,Screw thread,8.827766,8.374198
80,Impact extrusion,9.821987,7.849524
81,Embossing (manufacturing),10.159572,7.377619
82,Die (manufacturing),9.960308,7.9122744
83,Drawing (manufacturing),10.229674,7.950956
84,Necking (engineering),10.526126,7.773962
85,Deep drawing,10.338351,7.9620824
86,Hemming and seaming,9.554517,8.007341
87,Blanking and piercing,9.582103,8.005856
88,Cutting,9.67459,7.094531
89,Notching,9.43665,7.839674
90,Stamping (metalworking),10.121142,7.9917355
91,Leather stamping,7.98216,5.2649684
92,Progressive stamping,9.959429,7.9523673
93,Coining (metalworking),9.923273,7.658272
94,Ironing (metalworking),9.093528,5.819971
95,Flattening,9.685181,7.78266
96,Swaging,9.469754,8.173114
97,Metal spinning,10.100558,7.3223124
98,Peening,10.382379,7.45402
99,Explosive forming,10.435976,7.914059
100,Electroforming,10.734125,7.066215
101,Staking (manufacturing),11.433819,7.4423466
102,Flanging,9.416775,7.3814416
103,Decambering,9.493332,7.793438
104,Cold sizing,10.201048,7.889305
105,Hubbing,9.948937,8.104296
106,Hot metal gas forming,10.527168,7.844641
107,Curling (metalworking),9.827893,8.028751
108,Hydroforming,10.604549,7.895207
109,Hammer mill,8.790287,5.9709735
110,Ball mill,8.619539,6.7376833
111,Disc mill,8.84784,6.971988
112,Steel mill,8.947499,5.6138496
113,Refining,7.5693135,4.292548
114,Pickling (metal),10.985912,6.6351743
115,Facing (machining),8.978974,7.4600964
116,Boring (manufacturing),9.0307045,7.582609
117,Knurling,9.13059,7.823701
118,Drilling,9.248595,7.7343903
119,Friction drilling,9.494739,8.105022
120,Planing (shaping),8.956388,7.643918
121,Abrasive jet machining,9.5124,6.920733
122,Photochemical machining,9.976141,6.691537
123,Honing (metalworking),9.107067,7.031547
124,Sharpening,9.025418,7.0785055
125,Industrial finishing,9.146438,6.835915
126,Burnishing (metal),9.981065,7.437416
127,Electroplating,10.82751,6.691986
128,Electropolishing,10.563171,6.6493864
129,Etching,10.120493,6.8795257
130,Linishing,8.959751,7.213858
131,Mass finishing,9.31652,6.937808
132,Tumble finishing,9.122542,6.980431
133,Vibratory finishing,9.355868,7.10692
134,Polishing,9.431554,6.7542872
135,Superfinishing,9.35238,7.0404105
136,Ultrasonic machining,9.708417,7.082289
137,Electrical discharge machining,10.70475,7.0987196
138,Electrochemical machining,10.5185175,6.9139466
139,Photochemistry,9.903692,6.019161
140,Laser cutting,10.14443,6.514873
141,Laser drilling,10.160113,6.535506
142,Grinding (abrasive cutting),8.914308,7.1956835
143,High stock removal,9.53397,6.8232484
144,Gashing,8.96886,7.423375
145,Biomachining,9.026989,6.761212
146,Short circuit,7.214934,8.7540455
147,Stud welding,12.945081,7.342741
148,Carbon dioxide,8.340855,4.1125994
149,Butt welding,12.411348,7.4970164
150,Shot welding,12.461379,7.2366834
151,Diffusion,7.08356,3.7772143
152,Vacuum furnace,7.2541428,3.501116
153,Dielectric,7.598812,8.735045
154,Infrared,9.833591,6.156156
155,Vacuum,7.2074704,3.500189
156,Induction brazing,11.879619,6.705045
157,Hot plate,11.664896,6.4944115
158,Induction heating,12.031478,6.6888165
159,Dip soldering,11.548808,6.5486164
160,Wave,9.75412,7.0533624
161,Adhesive bonding,10.472668,5.5661917
162,Thermoplastic,10.186483,5.2434864
163,Epoxy,10.470909,5.292544
164,Polyurethane,6.7764654,5.2700024
165,Fastener,8.840875,8.479958
166,Screw,8.7515745,8.352909
167,Nut (hardware),8.809346,8.368158
168,Rivet,8.918255,8.332495
169,Pin,8.922952,8.30502
170,Cotter (pin),8.954238,8.543515
171,Taper pin,8.933099,8.383015
172,Spring pin,8.917217,8.3815975
173,Quick release skewer,8.912138,8.502046
174,Stitch (textile arts),8.644061,8.2183895
175,Filament winding,9.709399,7.8286176
176,Composite material,7.6733966,5.9176664
177,Laminated object manufacturing,9.933423,6.2785916
178,Laser engineered net shaping,10.085794,6.3058453
179,Selective laser sintering,10.077831,6.0957947
180,Spark plasma sintering,10.112726,5.792606
181,Stereolithography,9.921483,6.394428
182,Petroleum refining processes,7.2292566,4.7184267
183,Assembly line,8.094939,7.557042
184,Lapping,9.291511,7.0750747
185,Mortise and tenon,9.077247,8.4285965
186,Router (woodworking),8.926109,7.679766
187,Biscuit joiner,9.152705,8.35063
188,Heat treating,10.387433,6.078693
189,Bake-out,7.329183,3.4837117
190,Electronics,7.0927067,8.7246
191,Mechanization,7.852534,7.3192105
192,Activation energy,10.036871,5.892096
193,Calcination,8.930615,4.232877
194,Calcium carbonate,9.005776,4.129244
195,Calcium oxide,9.048512,4.2785707
196,By-product,5.8428698,6.035089
197,Flux (metallurgy),11.680652,6.755149
198,Carbon monoxide,8.068973,4.227151
199,Ore,8.5094595,5.671637
200,Iron ore,8.8088455,5.446966
201,Ammonia production,8.381117,3.8218262
202,Chemical process,7.090701,4.2721043
203,Pyroprocessing,8.199182,4.554752
204,Cement kiln,8.828434,4.4696164
205,Gilding,10.615603,6.830354
206,Electrolytic process,10.707136,6.643789
207,Electrophoretic deposition,10.70513,6.5465903
