text,x,y
Carbon arc welding,8.810158,9.205739
Flux cored arc welding,6.887566,5.1271844
Gas metal arc welding,8.940374,9.374857
Shielding gas,8.98382,9.291036
Plasma arc welding,9.013934,9.13667
Shielded metal arc welding,8.822533,9.246237
Submerged arc welding,8.67756,9.056744
Atomic hydrogen welding,8.8418045,9.173243
Propane,6.7332153,3.9064248
Spot welding,8.444763,9.102835
Drum (container),5.684939,5.105388
Flash welding,8.376012,9.565647
Upset welding,8.351254,9.549737
Cold welding,8.087641,9.050479
Explosion welding,8.308047,9.364904
Magnetic pulse welding,8.523682,9.570488
Forge welding,8.194133,9.173109
Damascus steel,7.5512176,6.15999
Friction welding,8.192969,9.516118
Friction stir welding,8.122313,9.413209
Hot isostatic pressing,7.8390436,6.70848
Autoclave,8.429677,6.021617
Ultrasonic welding,8.084142,9.080202
Electroslag welding,8.64202,9.417677
Induction welding,8.34704,8.808251
Laser beam welding,8.826327,9.457008
Laser-hybrid welding,8.730941,9.337878
Percussion welding,8.302739,9.393283
Electrogas welding,8.61042,9.425237
Isbn (identifier),3.4073486,6.845984
Symbols and conventions used in welding documentation,8.408108,9.534336
Cladding (metalworking),6.6431518,7.838089
Template:metalworking navbox,3.3764977,6.70711
Metalworking,7.3821745,6.06813
Flux-cored arc welding,8.697043,9.266096
Electric resistance welding,8.402729,9.138188
Electron-beam welding,8.873476,9.425205
Exothermic welding,8.23045,8.921161
Friction stud welding,8.534828,9.659575
Oxy-fuel welding and cutting,8.564949,9.033446
Electrode,7.059007,7.7564707
Filler metal,7.9968657,8.801303
Welding helmet,8.886869,9.349902
Welding power supply,8.866716,9.276972
Robot welding,8.787121,9.394958
Heat-affected zone,8.443317,9.01113
Photokeratitis,8.8634615,9.181851
Weldability,8.292798,9.443636
Metal fabrication,5.7853246,7.5276017
Forming processes,6.1288323,8.663664
Machining,4.9585266,6.661413
Metallurgy,7.4780626,6.0889463
Outline of metalworking,6.5346403,8.3495455
Thermoforming,6.1637793,5.509389
Centrifugal casting (industrial),6.7894874,8.917147
Continuous casting,6.8301883,8.87771
Evaporative-pattern casting,6.893449,9.0545635
Full-mold casting,6.86223,9.093132
Lost-foam casting,6.827069,9.053627
Investment casting,6.890986,9.06264
Permanent mold casting,6.9635444,8.995153
Resin casting,6.1082125,4.6986694
Sand casting,6.8707323,9.006204
Shell molding,6.935278,9.014866
Coating,6.774039,7.2282267
Chemical vapor deposition,8.450773,6.430456
Sputter deposition,7.9043493,7.1103573
Thermal spraying,7.5538244,7.5149536
Powder metallurgy,7.423187,6.7246246
Sintering,7.3378963,6.745276
Spray forming,6.911799,8.462607
Dip moulding,7.111943,8.838409
Forming (metalworking),6.1556835,8.647264
Tube beading,6.1396275,8.763298
Machine press,5.450675,8.463743
Impact (mechanics),5.9004307,8.002578
Extrusion,5.7453256,8.53376
Incremental sheet forming,6.042396,8.725466
Sheet metal,6.190429,8.160831
Screw thread,4.5953526,7.7071004
